position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
101,PGE-FET-101,Fette,2090i,SLIDE IN PEEK SEAL FOR STANDARD F-O-M TABLETS UP TO 11MM,Product Control,3134634,catalog-supplied,25,/assets/images/parts/fette/pge-fet-101.png,/parts/pge-fet-101/
102,PGE-FET-102,Fette,2090i,SCRAPER - BRONZE,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-102.png,/parts/pge-fet-102/
103,PGE-FET-103,Fette,2090i,SCRAPER - PEEK,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-103.png,/parts/pge-fet-103/
104,PGE-FET-104,Fette,2090i,SLIDE-IN SEAL - 11MM - OPEN - TITANIUM,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-104.png,/parts/pge-fet-104/
105,PGE-FET-105,Fette,2090i,SLIDE-IN SEAL - 14MM - OPEN - TITANIUM,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-105.png,/parts/pge-fet-105/
106,PGE-FET-106,Fette,2090i,SLIDE-IN SEAL - 16MM - OPEN - TITANIUM,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-106.png,/parts/pge-fet-106/
107,PGE-FET-107,Fette,2090i,SCRAPER - PEEK,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-107.png,/parts/pge-fet-107/
108,PGE-FET-108,Fette,2090i,SCRAPER - STAINLESS,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-108.png,/parts/pge-fet-108/
109,PGE-FET-109,Fette,2090i,SLIDE-IN-SEAL F-O-M - 11MM - STAINLESS,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-109.png,/parts/pge-fet-109/
110,PGE-FET-110,Fette,2090i,SLIDE-IN DELRIN SEAL FOR STANDARD F-O-M TABLETS UP TO 25MM,Product Control,Needed,needed,25,/assets/images/parts/fette/pge-fet-110.png,/parts/pge-fet-110/
111,PGE-FET-111,Fette,2090i,SLIDE-IN SEAL F-O-M - TABLETS TO 25MM - STAINLESS,Product Control,Needed,needed,26,/assets/images/parts/fette/pge-fet-111.png,/parts/pge-fet-111/
112,PGE-FET-112,Fette,2090i,SLIDE-IN SEAL F-O-M - TABLETS TO 25MM - TITANIUM,Product Control,Needed,needed,26,/assets/images/parts/fette/pge-fet-112.png,/parts/pge-fet-112/
113,PGE-FET-113,Fette,2090i,FILLING WHEEL - STAINLESS,Product Control,Needed,needed,26,/assets/images/parts/fette/pge-fet-113.png,/parts/pge-fet-113/
