record_number,batch_image_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,image_path
753,685,PGE-MAN-0753,Manesty,EXPRESS,SCREW FOR SCRAPER BLADE,Product Control,M-50,90350,86,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0753-screw-for-scraper-blade-m-50-oem-90350.png
754,686,PGE-MAN-0754,Manesty,EXPRESS,CLAMP ON INLET TUBE,Product Control,M-618,39618,86,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0754-clamp-on-inlet-tube-m-618-oem-39618.png
755,687,PGE-MAN-0755,Manesty,EXPRESS,BRACKET ON INLET BOWL,Product Control,M-619,39619,86,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0755-bracket-on-inlet-bowl-m-619-oem-39619.png
756,688,PGE-MAN-0756,Manesty,EXPRESS,PIN FOR RECIRCULATING CHANNEL - THREADED END,Product Control,M-624,48624,86,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0756-pin-for-recirculating-channel-threaded-end-m-624-oem-48624.png
757,689,PGE-MAN-0757,Manesty,EXPRESS,INLET CONNECTOR HINGE PLATE,Product Control,M-637,39637,86,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0757-inlet-connector-hinge-plate-m-637-oem-39637.png
758,690,PGE-MAN-0758,Manesty,EXPRESS,INLET CONNECTOR GASKET,Product Control,M-638,39638,86,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0758-inlet-connector-gasket-m-638-oem-39638.png
759,691,PGE-MAN-0759,Manesty,EXPRESS,LOCK NUT ON HINGE PLATE,Product Control,M-640,39640,86,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0759-lock-nut-on-hinge-plate-m-640-oem-39640.png
760,692,PGE-MAN-0760,Manesty,EXPRESS,HOPPER CONNECTOR,Product Control,M-642,39642,86,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0760-hopper-connector-m-642-oem-39642.png
761,693,PGE-MAN-0761,Manesty,EXPRESS,FLANGED BUSHING - OILITE,Product Control,M-70,39770,86,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0761-flanged-bushing-oilite-m-70-oem-39770.png
762,694,PGE-MAN-0762,Manesty,EXPRESS,SEAL - PADDLE SHAFT,Product Control,M-71,39771,86,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0762-seal-paddle-shaft-m-71-oem-39771.png
763,695,PGE-MAN-0763,Manesty,EXPRESS,FEEDER DETENT ASSEMBLY,Product Control,M-763/A,39763A,87,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0763-feeder-detent-assembly-m-763-a-oem-39763a.png
764,696,PGE-MAN-0764,Manesty,EXPRESS,BAFFLE,Product Control,M-784,39784,87,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0764-baffle-m-784-oem-39784.png
