sku,make,model,category,part_name,catalog_part_number,oem_number,catalog_page,grid_position,image_status,image_path
PGE-STK-0099,Stokes,328,Hydraulic & Lubrication Components,SUMP CLEAN-OUT BEZEL,S35-962,B-297-962-002,41,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0099.webp
PGE-STK-0100,Stokes,328,Hydraulic & Lubrication Components,OIL RESERVOIR GASKET,S35-972,A-233-972-002,41,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0100.webp
PGE-STK-0101,Stokes,328,Hydraulic & Lubrication Components,PISTON & SPINDLE CAP O'RING (NEW STYLE),S35-022,07-FD-022-P,41,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0101.webp
PGE-STK-0102,Stokes,328,Hydraulic & Lubrication Components,TONNAGE GAUGE - 10 TON,S-575,085-10-575,41,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0102.webp
PGE-STK-0103,Stokes,328,Hydraulic & Lubrication Components,PULLEY ON JACKSHAFT,S-901,085-17-901,41,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0103.webp
PGE-STK-0104,Stokes,328,Hydraulic & Lubrication Components,PUMP MOUNTING BRACKET,SP-664,085-12-664,41,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0104.webp
PGE-STK-0105,Stokes,328,Hydraulic & Lubrication Components,OIL PUMP SUPPORT,SP-778,A-241-778-001,41,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0105.webp
PGE-STK-0106,Stokes,328,Hydraulic & Lubrication Components,OIL PUMP,SP-A2,085-10-525,42,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0106.webp
PGE-STK-0107,Stokes,328,Hydraulic & Lubrication Components,OIL/HYDRAULIC VALVE ASSEMBLY,S-VA,N/A,42,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0107.webp
PGE-STK-0108,Stokes,328,Hydraulic & Lubrication Components,SUMP CLEAN-OUT COVER,S35-701,B-297-701-005,42,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0108.webp
PGE-STK-0109,Stokes,328,Hydraulic & Lubrication Components,SUMP CLEAN-OUT GASKET,S35-702,B-297-702-005,42,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0109.webp
PGE-STK-0110,Stokes,328,Hydraulic & Lubrication Components,STRAINER FOR OIL PUMP,SP-A3,N/A,42,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0110.webp
PGE-STK-0111,Stokes,328,Lower Cam Tracks,"BILAYER FILLER PLATE 11/16"" FILL",S35-BFP-69,N/A,42,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0111.webp
PGE-STK-0112,Stokes,328,Lower Cam Tracks,HOLD DOWN INSERT - 33 STATION,S35-706/2,N/A,42,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0112.webp
PGE-STK-0113,Stokes,328,Lower Cam Tracks,NON-DROP INSERT - EARLY MODEL,S-316,D-233-316-3,42,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0113.webp
PGE-STK-0114,Stokes,328,Lower Cam Tracks,EJECTION CAM - STEEL,S35-2,C-236-641-13,42,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0114.webp
PGE-STK-0115,Stokes,328,Lower Cam Tracks,ANTI-FLIGHT CAM - EJECTION (45 STATION),S35-2/1,N/A,42,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0115.webp
PGE-STK-0116,Stokes,328,Lower Cam Tracks,EJECTION CAM - BRONZE,S35-2/B,C-236-641-13,42,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0116.webp
PGE-STK-0117,Stokes,328,Lower Cam Tracks,ANTI-FLIGHT CAM - EJECTION (33 STATION),S35-2/2,N/A,42,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0117.webp
PGE-STK-0118,Stokes,328,Lower Cam Tracks,NON-DROP CAM SUPPORT,S35-401,C-290-401-003,42,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0118.webp
PGE-STK-0119,Stokes,328,Lower Cam Tracks,LOWER PUNCH TAKE OUT,S35-548,C-233-548-001,42,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0119.webp
PGE-STK-0120,Stokes,328,Lower Cam Tracks,HOLD-DOWN INSERT- 45 STATION,S35-706,D-295-706-002,42,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0120.webp
PGE-STK-0121,Stokes,328,Lower Cam Tracks,LOWER PUNCH TAKE-OUT STUD ASSEMBLY,S35-760,A-233-576-001,43,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0121.webp
PGE-STK-0122,Stokes,328,Lower Cam Tracks,"LOWER PULL-DOWN CAM (1-3/8"" FILL)",S35-864-138,B-236-873-009,43,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0122.webp
PGE-STK-0123,Stokes,328,Lower Cam Tracks,LOWER PULL-DOWN CAM (11/16 FILL),S35-864-69,D-236-864-002,43,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0123.webp
PGE-STK-0124,Stokes,328,Lower Cam Tracks,"LOWER PULL-DOWN CAM (7/8"" FILL)",S35-864-88,B-236-873-008,43,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0124.webp
PGE-STK-0125,Stokes,328,Lower Cam Tracks,"LOWER PULL DOWN CAM 1-3/8"" - 33 STATION",S35-865-138,N/A,43,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0125.webp
PGE-STK-0126,Stokes,328,Lower Cam Tracks,"LOWER PULL DOWN CAM - 11/16"" - 33 STATION",S35-865-69,D-236-864-002,43,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0126.webp
PGE-STK-0127,Stokes,328,Lower Cam Tracks,"LOWER PULL DOWN CAM - 7/8"" - 33 STATION",S35-865-88,D-236-865-002,43,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0127.webp
PGE-STK-0128,Stokes,328,Lower Cam Tracks,"INSERT CAM (1-3/8"" FILL)",S35-873-138,B-236-873-009,43,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0128.webp
PGE-STK-0129,Stokes,328,Lower Cam Tracks,"INSERT CAM (11/16"" FILL)",S35-873-69,B-236-873-002,43,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0129.webp
PGE-STK-0130,Stokes,328,Lower Cam Tracks,"INSERT CAM (7/8"" FILL)",S35-873-88,B-236-873-008,43,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0130.webp
PGE-STK-0131,Stokes,328,Guarding,DOOR MOUNTED ACTUATOR,S35-002,15-FMA-002,43,R4C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0132,Stokes,328,Guarding,FRONT PANEL AND INSERT,S-109,D-234-109-022,43,R4C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0133,Stokes,328,Guarding,PRESSURE SWITCH,S-122,15-BJ-122,43,R5C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0134,Stokes,328,Pressure Rolls & Components,BUSHING FOR PRESSURE ROLL,N-328,N/A,43,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0134.webp
PGE-STK-0135,Stokes,328,Pressure Rolls & Components,LOWER ROLL SHAFT,S-036,C-290-403-006,43,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0135.webp
PGE-STK-0136,Stokes,328,Pressure Rolls & Components,LOWER ROLL SHAFT,S-039,D-290-403-009,44,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0136.webp
PGE-STK-0137,Stokes,328,Pressure Rolls & Components,UPPER PRESSURE ROLL BEARING STYLE (LATE MODEL),S-044,C-232-513-044,44,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0137.webp
PGE-STK-0138,Stokes,328,Pressure Rolls & Components,LOWER PRESSURE ROLL BEARING STYLE (LATE MODEL),S-045,C-232-523-045,44,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0138.webp
PGE-STK-0139,Stokes,328,Pressure Rolls & Components,"SEAL, PRESSURE ROLL",S-267,7BA267,44,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0139.webp
PGE-STK-0140,Stokes,328,Pressure Rolls & Components,UPPER FRAME OIL SEAL - UPPER ROLL PIN,S-277,085-026-277,44,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0140.webp
PGE-STK-0141,Stokes,328,Pressure Rolls & Components,LOWER PRESSURE ROLL - W/SEALS,S-311,B-232-513-11,44,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0141.webp
PGE-STK-0142,Stokes,328,Pressure Rolls & Components,UPPER PRESSURE ROLL - W/SEALS,S-312,B-232-513-12,44,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0142.webp
