record_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,review_notes,image_path
147,PGE-KIK-147,Kikusui,NEW GEMINI 855,RAIL LOWER PUNCH DISCHARGE - BRONZE,Lower Cam Tracks,K-G-24,G-24,19,R1C2,Catalog photo,Reviewed — product-page value used,Index part name: RAIL LOWER PUNCH DISCHARGE; pictured product page: RAIL LOWER PUNCH DISCHARGE - BRONZE.,/assets/images/parts/kikusui/pge-kik-147.webp
148,PGE-KIK-148,Kikusui,NEW GEMINI 855,LOWERING SAFETY RAIL - DELRIN,Lower Cam Tracks,K-G-57,G-57,19,R1C3,Catalog photo,Reviewed — product-page value used,Index part name: LOWERING SAFETY RAIL; pictured product page: LOWERING SAFETY RAIL - DELRIN.,/assets/images/parts/kikusui/pge-kik-148.webp
149,PGE-KIK-149,Kikusui,NEW GEMINI 855,DIE SET RAIL,Lower Cam Tracks,KG-G-59,N/A,19,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-149.webp
150,PGE-KIK-150,Kikusui,NEW GEMINI 855,TIGHT PUNCH CAM FOR VOLUME RAIL,Lower Cam Tracks,KG-Q-34,N/A,19,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-150.webp
151,PGE-KIK-151,Kikusui,NEW GEMINI 855,PLATE ON LOAD CELL (PRE COMP),Pressure Rolls & Components,KG-AW-5-QT,N/A,19,R2C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-151.webp
152,PGE-KIK-152,Kikusui,NEW GEMINI 855,AGITATOR DRIVE GEAR,Product Control,KG-AF-13,N/A,19,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-152.webp
153,PGE-KIK-153,Kikusui,NEW GEMINI 855,AGITATOR MAIN DRIVE GEAR,Product Control,KG-AF-18,N/A,19,R3C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-153.webp
154,PGE-KIK-154,Kikusui,NEW GEMINI 855,AGITATOR DRIVE MID GEAR,Product Control,KG-AF-27,N/A,19,R3C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-154.webp
155,PGE-KIK-155,Kikusui,NEW GEMINI 855,HOPPER POWDER SHUTTER,Product Control,KG-N-6,N/A,19,R4C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-155.webp
156,PGE-KIK-156,Kikusui,NEW GEMINI 855,UPPER PUNCH CAM ASSEMBLY TSM B,Upper Cam Tracks,KG-48-1/A-QT,N/A,19,R4C2,Photo not available,Reviewed — product-page value used,Index part name: UPPER LUBE CAM ASSEMBLY TSM B; pictured product page: UPPER PUNCH CAM ASSEMBLY TSM B.,
157,PGE-KIK-157,Kikusui,NEW GEMINI 855,UPPER PUNCH GUIDE RAIL,Upper Cam Tracks,KG-G-58,N/A,19,R4C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-157.webp
158,PGE-KIK-158,Kikusui,NEW GEMINI 855,UPPER PUNCH GUIDE RAIL,Upper Cam Tracks,KG-G-58-QT,N/A,19,R5C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-158.webp
